punto,longitudine,latitudine
1,-122.5122525,48.7218238
2,-122.5122675,48.7225236
3,-122.5122788,48.7234048
4,-122.5124504,48.7243564
5,-122.5132015,48.7253115
6,-122.5163364,48.7265366
7,-122.5220184,48.7271934
8,-122.533391,48.7257609
9,-122.5471668,48.71917
10,-122.55266,48.7043712
11,-122.5489728,48.685031
12,-122.5436907,48.6573125
13,-122.5525656,48.6334887
14,-122.5629597,48.6278047
15,-122.5813274,48.6245143
16,-122.6235561,48.6234931
17,-122.6374435,48.6261085
18,-122.6678447,48.6346119
19,-122.715764,48.6628855
20,-122.7318308,48.6841216
21,-122.7485256,48.706484
22,-122.787321,48.746451
23,-122.8752117,48.7800579
24,-122.9761486,48.8180506
25,-123.0602627,48.8614357
26,-123.1581823,48.9150566
27,-123.1754152,48.9244874
28,-123.2892589,48.986747
29,-123.3180018,49.0025144
30,-123.352087,49.021206
31,-123.4802923,49.1773061
32,-123.569951,49.2478973
33,-123.6284618,49.2716088
34,-123.7259655,49.3035198
35,-123.8174868,49.340259
36,-123.9563608,49.3719019
37,-124.089201,49.3833745
38,-124.2303324,49.4055352
39,-124.3602543,49.4214667
40,-124.4198208,49.4381855
41,-124.4651651,49.466692
42,-124.4754391,49.4856314
43,-124.4877987,49.5180724
44,-124.5336323,49.5491554
45,-124.6043825,49.6062953
46,-124.6699314,49.6485103
47,-124.7679758,49.7452615
48,-124.8055439,49.7931188
49,-124.8421335,49.8444381
50,-124.9037599,49.8956422
51,-124.9492245,49.9066714
52,-125.0098209,49.9156367
53,-125.0755672,49.9321036
54,-125.1911211,49.9771931
55,-125.211523,49.999791
56,-125.2182178,50.0232882
57,-125.236783,50.0436155
58,-125.267828,50.0784007
59,-125.3141766,50.1152907
60,-125.3253603,50.1198422
61,-125.343359,50.1217848
62,-125.3521137,50.125967
63,-125.3557186,50.1385113
64,-125.3600359,50.1671474
65,-125.3713398,50.208545
66,-125.3852701,50.2404329
67,-125.3843861,50.2560917
68,-125.3962564,50.2716028
69,-125.4223232,50.3060031
70,-125.4242372,50.331909
71,-125.4269838,50.3379354
72,-125.4355411,50.3407457
73,-125.4461841,50.3405266
74,-125.463376,50.3376013
75,-125.47365,50.3382203
76,-125.482748,50.3417098
77,-125.4923611,50.3462232
78,-125.5133037,50.3501667
79,-125.5413103,50.3577624
80,-125.5622272,50.3714119
81,-125.5857448,50.3775428
82,-125.6248836,50.3729447
83,-125.6918316,50.3723973
84,-125.7203274,50.3676892
85,-125.7622127,50.370974
86,-125.7783489,50.374149
87,-125.7919102,50.3801701
88,-125.8159428,50.3868471
89,-125.851305,50.3889266
90,-125.8702135,50.3877227
91,-125.8825474,50.389255
92,-125.8979969,50.3951647
93,-125.9412556,50.405122
94,-125.9889774,50.4291859
95,-126.0603886,50.4611064
96,-126.0966091,50.4676628
97,-126.1511974,50.4708313
98,-126.2093906,50.4813189
99,-126.2763386,50.4922409
100,-126.3565044,50.5011952
101,-126.425169,50.4962815
102,-126.4861088,50.4975918
103,-126.5882473,50.5044707
104,-126.6287851,50.5133516
105,-126.6840343,50.5344855
106,-126.7540722,50.5471406
107,-126.7873659,50.5532433
108,-126.7959404,50.5581565
109,-126.8098621,50.5721136
110,-126.8283758,50.5975092
111,-126.8306332,50.6045913
112,-126.82411,50.6117813
113,-126.8050814,50.6232559
114,-126.7995624,50.634978
115,-126.8029957,50.6506538
116,-126.8175869,50.6657803
117,-126.8745911,50.6832573
118,-127.1179027,50.7214158
119,-127.3140144,50.7769079
120,-127.4923562,50.8488795
121,-127.6656548,50.9119381
122,-127.7465002,50.9649375
123,-127.8156099,51.0752612
124,-127.8964553,51.2229042
125,-127.8925434,51.319984
126,-127.8573366,51.5074421
127,-127.8605965,51.5204259
128,-127.9329661,51.7462356
129,-127.935574,51.8248826
130,-127.934922,51.9391798
131,-127.9276712,52.0456775
132,-127.9358209,52.0603112
133,-127.946404,52.0656436
134,-127.9927364,52.0783955
135,-128.0017262,52.0782538
136,-128.045062,52.0744286
137,-128.1040724,52.0805204
138,-128.1139843,52.0846284
139,-128.1298894,52.1054457
140,-128.1331166,52.1321965
141,-128.1338081,52.1357337
142,-128.1411844,52.14988
143,-128.1404937,52.1525935
144,-128.1344629,52.1694915
145,-128.1295846,52.1735108
146,-128.1200209,52.1782936
147,-128.1092062,52.1839775
148,-128.1061163,52.186135
149,-128.1044856,52.1882399
150,-128.1049147,52.190713
151,-128.1086913,52.1931333
152,-128.1322947,52.2064427
153,-128.1632796,52.221536
154,-128.1661978,52.2224824
155,-128.2746002,52.2447384
156,-128.4163754,52.2546963
157,-128.4353112,52.2587086
158,-128.4957599,52.300593
159,-128.5346024,52.3342796
160,-128.5380011,52.344959
161,-128.5356223,52.3859029
162,-128.4724509,52.4457918
163,-128.4573447,52.4679677
164,-128.4600913,52.4984935
165,-128.49923,52.6233032
166,-128.5067831,52.6308055
167,-128.5139929,52.6358063
168,-128.5301291,52.6408066
169,-128.534249,52.6451813
170,-128.5395827,52.6684031
171,-128.5437097,52.6757634
172,-128.5621599,52.6875375
173,-128.5692001,52.7022505
174,-128.5696856,52.7084285
175,-128.5677435,52.7196055
176,-128.5480795,52.7697198
177,-128.5352129,52.8301916
178,-128.5291437,52.8727062
179,-128.5204042,52.8901399
180,-128.5187048,52.8952661
181,-128.5136067,52.9220589
182,-128.5136067,52.9271813
183,-128.5272016,53.0132936
184,-128.5293865,53.0192814
185,-128.5393399,53.037094
186,-128.5548769,53.0576715
187,-128.5692001,53.0907792
188,-128.5733271,53.0983598
189,-128.5912918,53.1241528
190,-128.6199382,53.1540068
191,-128.624308,53.1570638
192,-128.6308626,53.1598295
193,-128.6922824,53.1684166
194,-128.701993,53.1724912
195,-128.8112377,53.2347268
196,-128.8687732,53.272199
197,-128.8748423,53.2772799
198,-128.8947491,53.3004992
199,-128.9027604,53.303981
200,-128.9202395,53.3045613
201,-128.9391753,53.3057218
202,-129.0217156,53.3136996
203,-129.0566739,53.3135545
204,-129.1180937,53.303981
205,-129.134359,53.3049965
206,-129.2974976,53.3570434
207,-129.36353,53.385577
208,-129.3839223,53.3993301
209,-129.4499546,53.4411409
210,-129.5560433,53.5080394
211,-129.597038,53.5338241
212,-129.6448629,53.562095
213,-129.6835841,53.5894824
214,-129.6974217,53.5985596
215,-129.7372353,53.6384472
216,-129.7664886,53.666864
217,-129.7782627,53.6787286
218,-129.8188046,53.7143023
219,-129.8888218,53.7525981
220,-129.9364039,53.782444
221,-130.0609427,53.8669876
222,-130.0854621,53.8851637
223,-130.1019702,53.893748
224,-130.1920363,53.9166311
225,-130.1968916,53.9236365
226,-130.2075733,53.9747833
227,-130.2335493,54.0264379
228,-130.2546699,54.04597
229,-130.2978822,54.089848
230,-130.3599613,54.1655248
231,-130.4109421,54.1888269
232,-130.5566016,54.2251748
233,-130.7133909,54.2625687
234,-130.8728203,54.3006639
235,-130.9943566,54.3631225
236,-131.1546884,54.4991211
237,-131.3190122,54.6355994
238,-131.4893003,54.7750503
239,-131.6606383,54.9129738
240,-131.681847,55.0351345
241,-131.6303806,55.2460437
242,-131.618353,55.2711849
243,-131.6064575,55.2832154
244,-131.6064575,55.292616
245,-131.62248,55.3057454
246,-131.6444222,55.3156757
247,-131.6562926,55.3245689
248,-131.6661097,55.3323892
249,-131.6823029,55.3452605
250,-131.6898118,55.3480066
251,-131.6922395,55.3504566
252,-131.6931275,55.3524306
253,-131.6926217,55.3531175
254,-131.6923784,55.3537617
255,-131.6922785,55.3538395
